Gene	Species	CommonName	Order	SpeciesCopyNumber	OrderCopyNumber
TDG	echinops_telfairi	lesser_hedgehog_tenrec	afrosoricida	1	1
TDG	bison_bison_bison	american_bison	artiodactyla	1	5
TDG	camelus_dromedarius	arabian_camel	artiodactyla	1	5
TDG	sus_scrofa	wild_boar	artiodactyla	1	5
TDG	moschus_moschiferus	siberian_musk_deer	artiodactyla	1	5
TDG	cervus_hanglu_yarkandensis	central_asian_red_deer	artiodactyla	1	5
TDG	panthera_leo	lion	carnivora	1	10
TDG	canis_lupus_familiaris	domestic_dog	carnivora	1	10
TDG	felis_catus	domestic_cat	carnivora	1	10
NULL	canis_lupus_dingo	dingo	carnivora	1	10
TDG	panthera_pardus	leopard	carnivora	1	10
TDG	ailuropoda_melanoleuca	giant_panda	carnivora	1	10
TDG	lynx_canadensis	canadian_lynx	carnivora	1	10
TDG	vulpes_vulpes	red_fox	carnivora	1	10
TDG	ursus_maritimus	polar_bear	carnivora	1	10
TDG	zalophus_californianus	cali_sea_lion	carnivora	1	10
NULL	delphinapterus_leucas	beluga_whale	cetacea	2	2
TDG	pteropus_vampyrus	large_flying_fox	chiroptera	1	1
TDG	dasypus_novemcinctus	nine_banded_armadillo	cingulata	1	1
NULL	erinaceus_europaeus	western_european_hedgehog	eulipotyphyla	1	2
NULL	sorex_araneus	european_shrew	eulipotyphyla	1	2
TDG	procavia_capensis	cape_rock_hyrax	hyracoidea	1	1
TDG	oryctolagus_cuniculus	rabbit	lagomorpha	1	2
TDG	ochotona_princeps	american_pika	lagomorpha	1	2
TDG	equus_caballus	domestic_horse	perissodactyla	1	2
TDG	equus_asinus_asinus	donkey	perissodactyla	1	2
TDG	callithrix_jacchus	white_tufted_ear_marmoset	primates	1	12
TDG	carlito_syrichta	philippine_tarsier	primates	1	12
TDG	cercocebus_atys	sooty_mangabey	primates	1	12
TDG	papio_anubis	olive_baboon	primates	1	12
TDG	macaca_fascicularis	crab_eating_macaque	primates	1	12
NULL	gorilla_gorilla	gorilla	primates	2	12
NULL	pan_troglodytes	chimpanzee	primates	2	12
TDG	aotus_nancymaae	mas_night_monkey	primates	1	12
TDG	mandrillus_leucophaeus	drill	primates	1	12
TDG	nomascus_leucogenys	gibbon	primates	1	12
TDG	gorilla_gorilla	gorilla	primates	2	12
TDG	pan_troglodytes	chimpanzee	primates	2	12
TDG	loxodonta_africana	african_savanna_elephant	proboscidea	1	1
NULL	castor_canadensis	american_beaver	rodentia	3	12
Tdg	castor_canadensis	american_beaver	rodentia	3	12
Tdg	rattus_norvegicus	norway_rat	rodentia	1	12
NULL	peromyscus_maniculatus_bairdii	prairie_deer_mouse	rodentia	2	12
Tdg	mus_musculus	house_mouse	rodentia	1	12
Tdg	nannospalax_galili	upper_galilee_mountains_blind_mole_rat	rodentia	1	12
TDG	cavia_aperea	brazilian_guinea_pig	rodentia	1	12
Tdg	mus_spicilegus	steppe_mouse	rodentia	1	12
TDG	octodon_degus	degu	rodentia	1	12
TDG	chinchilla_lanigera	long_tailed_chinchilla	rodentia	1	12
